content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,is_declining_label,model_prob,priority_score,reason_code,action_label
content_ede4d2a70581,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,transactional,,,,gpt-4o-mini,811,0,14,9,9,1,0,9,77,9,31,0,3,631,0,3,421,365+,6,104,91-180,,,0.0,7.5,11.11,64.29,0.0,moderate,page_1,down,-95.1,1,0.99,99.0,ctr_cliff_candidate,optimize_snippet
content_85a09b3e3147,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,informational,1519.0,9561.0,,gpt-4o-mini,116,0,2,2,2,0,0,0,24,2,0,0,0,4,0,1,237,181-365,5,92,91-180,1000-2000,8000-15000,0.0,6.4,0.0,0.0,0.0,low,page_1,down,-100.0,1,0.99,99.0,ctr_cliff_candidate,optimize_snippet
content_d1c0e3569a3e,client_4e07408562,10.0,0.29,LOW,0.6,keyword article,transactional,2781.0,17815.0,,gemini-3-flash-preview,4105,26,34,29,28,4,0,5,88,23,1166,9,12,1511,8,6,348,181-365,5,14,0-30,2000-3500,15000-25000,0.63,15.1,13.79,14.71,0.0,good,striking,down,-22.8,1,0.99,99.0,deep_rank_decay,rearchitect_links
content_942399f999b7,client_4e07408562,,,,,keyword article,informational,,,,gpt-4o-mini,858,0,1,1,1,0,0,0,87,1,146,0,1,322,0,0,504,365+,6,104,91-180,,,0.0,7.6,0.0,0.0,0.0,moderate,page_1,down,-54.7,1,0.99,99.0,ctr_cliff_candidate,optimize_snippet
content_d695c77deba2,client_4e07408562,30.0,0.0,LOW,0.0,keyword article,commercial,1564.0,10162.0,,gpt-4o-mini,2853,7,6,6,6,2,0,2,88,6,794,1,3,1007,4,3,347,181-365,5,104,91-180,1000-2000,8000-15000,0.25,4.9,33.33,33.33,0.0,moderate,page_1,down,-21.2,1,0.99,99.0,ctr_cliff_candidate,optimize_snippet
content_700de55b1459,client_4e07408562,20.0,0.02,LOW,1.08,keyword article,commercial,1538.0,9553.0,,gpt-4o-mini,1258,0,1,1,1,0,0,0,88,1,269,0,0,408,0,1,280,181-365,5,104,91-180,1000-2000,8000-15000,0.0,14.5,0.0,0.0,0.0,moderate,striking,down,-34.1,1,0.99,99.0,deep_rank_decay,rearchitect_links
content_32b4e5a2f630,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,informational,1571.0,10248.0,,gpt-4o-mini,2663,2,9,9,8,0,0,0,87,8,746,1,2,1658,0,3,223,181-365,5,102,91-180,1000-2000,8000-15000,0.08,6.5,0.0,0.0,0.0,moderate,page_1,down,-55.0,1,0.99,99.0,ctr_cliff_candidate,optimize_snippet
content_c5cdd229c348,client_4e07408562,110.0,0.0,LOW,0.0,keyword article,informational,2780.0,17401.0,,gemini-3-flash-preview,1531,0,3,3,3,0,0,0,88,2,403,0,2,544,0,1,280,181-365,5,14,0-30,2000-3500,15000-25000,0.0,22.0,0.0,0.0,0.0,moderate,page_3_5,down,-25.9,1,0.99,99.0,deep_rank_decay,rearchitect_links
content_370f162b9110,client_8527a891e2,140.0,0.13,LOW,1.26,keyword article,informational,1547.0,9925.0,,gpt-4o-mini,112,0,1,1,1,0,0,1,17,1,0,0,0,2,0,1,238,181-365,5,92,91-180,1000-2000,8000-15000,0.0,6.3,0.0,100.0,0.0,low,page_1,down,-100.0,1,0.98,98.0,ctr_cliff_candidate,optimize_snippet
content_6607847e4454,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,informational,1472.0,10020.0,,gpt-4o-mini,786,1,4,4,4,0,0,0,80,4,70,0,0,100,0,1,275,181-365,5,104,91-180,1000-2000,8000-15000,0.13,9.3,0.0,0.0,0.0,moderate,page_1,down,-30.0,1,0.98,98.0,ctr_cliff_candidate,optimize_snippet
content_4dd569ee33c9,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,informational,1697.0,10383.0,,gpt-4o-mini,361,0,4,4,4,0,0,1,69,3,96,0,2,120,0,1,275,181-365,5,20,0-30,1000-2000,8000-15000,0.0,14.8,0.0,25.0,0.0,moderate,striking,stable,-20.0,0,0.98,98.0,deep_rank_decay,rearchitect_links
content_8179b32b194b,client_4e07408562,10.0,1.0,HIGH,0.69,keyword article,transactional,1577.0,9751.0,,gpt-4o-mini,1211,0,2,2,2,0,1,0,88,2,330,0,1,338,0,0,326,181-365,5,104,91-180,1000-2000,8000-15000,0.0,37.3,0.0,0.0,50.0,moderate,page_3_5,stable,-2.4,0,0.98,98.0,general_monitor,monitor
content_2411a982f427,client_e629fa6598,20.0,0.82,HIGH,1.31,keyword article,transactional,,,,unknown,95,0,6,6,6,1,0,1,31,6,0,0,1,5,0,2,460,365+,6,20,0-30,,,0.0,8.4,16.67,16.67,0.0,low,page_1,down,-100.0,1,0.98,98.0,ctr_cliff_candidate,optimize_snippet
content_51985aaaf937,client_4e07408562,40.0,1.0,HIGH,0.74,keyword article,transactional,1606.0,10039.0,,gpt-4o-mini,475,0,2,2,2,0,0,0,71,2,37,0,1,89,0,1,348,181-365,5,104,91-180,1000-2000,8000-15000,0.0,3.9,0.0,0.0,0.0,moderate,page_1,down,-58.4,1,0.98,98.0,ctr_cliff_candidate,optimize_snippet
content_b8a7d1626856,client_4e07408562,10.0,0.0,LOW,0.0,keyword article,transactional,2572.0,16309.0,,gemini-3-flash-preview,1631,0,2,2,2,0,0,0,88,2,233,0,1,471,0,1,326,181-365,5,13,0-30,2000-3500,15000-25000,0.0,22.7,0.0,0.0,0.0,moderate,page_3_5,down,-50.5,1,0.98,98.0,deep_rank_decay,rearchitect_links
content_3164f3076003,client_8527a891e2,110.0,0.0,LOW,0.0,keyword article,informational,1274.0,8416.0,,gpt-4o-mini,2696,1,3,3,3,1,0,2,88,3,529,0,0,414,0,1,275,181-365,5,104,91-180,1000-2000,8000-15000,0.04,16.1,33.33,66.67,0.0,moderate,striking,up,27.8,0,0.98,98.0,deep_rank_decay,rearchitect_links
content_3cd58a4a2731,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,informational,1295.0,8230.0,,gpt-4o-mini,2004,0,6,6,6,0,0,0,88,6,593,0,3,336,0,2,272,181-365,5,104,91-180,1000-2000,8000-15000,0.0,39.1,0.0,0.0,0.0,moderate,page_3_5,up,76.5,0,0.98,98.0,general_monitor,monitor
content_1f97c2c8f517,client_4e07408562,20.0,0.8,HIGH,1.14,keyword article,commercial,1651.0,10866.0,,gpt-4o-mini,2156,0,9,9,9,0,0,0,88,4,459,0,6,646,0,3,300,181-365,5,104,91-180,1000-2000,8000-15000,0.0,35.7,0.0,0.0,0.0,moderate,page_3_5,down,-28.9,1,0.98,98.0,general_monitor,monitor
content_de0154a19027,client_f369cb89fc,10.0,1.0,HIGH,0.88,keyword article,transactional,2405.0,14303.0,,gemini-2.5-flash,1368,3,8,7,7,1,0,1,88,6,274,3,6,402,0,0,180,91-180,4,20,0-30,2000-3500,8000-15000,0.22,3.6,14.29,12.5,0.0,moderate,page_1,down,-31.8,1,0.98,98.0,ctr_cliff_candidate,optimize_snippet
content_5214de409e4f,client_4e07408562,18100.0,0.0,LOW,16.5,keyword article,informational,2721.0,17715.0,,gemini-3-flash-preview,1517,1,4,4,4,0,0,0,88,3,512,1,4,488,0,0,537,365+,6,13,0-30,2000-3500,15000-25000,0.07,21.4,0.0,0.0,0.0,moderate,page_3_5,stable,4.9,0,0.98,98.0,deep_rank_decay,rearchitect_links
content_6d1c35c27ae1,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,informational,3548.0,21072.0,,gpt-4o-mini,153,0,3,3,2,0,0,0,56,2,17,0,2,31,0,0,310,181-365,5,104,91-180,3500+,15000-25000,0.0,7.2,0.0,0.0,0.0,low,page_1,down,-45.2,1,0.98,98.0,ctr_cliff_candidate,optimize_snippet
